concentration,measurement,fit,stderr,serum,virus,upper,lower
0.0003214031510034277,,0.01578296017673439,,dimeric-bEFNB2,NiV-pseudo,,
0.00033665099098179773,,0.014349946778034115,,dimeric-bEFNB2,NiV-pseudo,,
0.0003526222109994747,,0.013045319237817266,,dimeric-bEFNB2,NiV-pseudo,,
0.0003693511292734642,,0.011857875160006522,,dimeric-bEFNB2,NiV-pseudo,,
0.00038687369212765427,,0.010777337341321941,,dimeric-bEFNB2,NiV-pseudo,,
0.000403,0.00016,0.009906378126369892,7e-05,dimeric-bEFNB2,NiV-pseudo,0.00023,9.000000000000002e-05
0.00040522755123260365,,0.009794286576447797,,dimeric-bEFNB2,NiV-pseudo,,
0.0004244521445097115,,0.008900097662692164,,dimeric-bEFNB2,NiV-pseudo,,
0.00044458878087358795,,0.00808687879141563,,dimeric-bEFNB2,NiV-pseudo,,
0.000465680728994741,,0.007347414422050787,,dimeric-bEFNB2,NiV-pseudo,,
0.0004877733102732824,,0.006675111662044086,,dimeric-bEFNB2,NiV-pseudo,,
0.0005109139962234575,,0.006063950119504737,,dimeric-bEFNB2,NiV-pseudo,,
0.0005351525104782289,,0.005508435152106158,,dimeric-bEFNB2,NiV-pseudo,,
0.0005605409356331154,,0.005003554403545725,,dimeric-bEFNB2,NiV-pseudo,,
0.0005871338251588582,,0.0045447374956542,,dimeric-bEFNB2,NiV-pseudo,,
0.0006149883206233886,,0.004127818728362685,,dimeric-bEFNB2,NiV-pseudo,,
0.0006441642744749805,,0.003749002629751576,,dimeric-bEFNB2,NiV-pseudo,,
0.0006747243786504148,,0.0034048321931179643,,dimeric-bEFNB2,NiV-pseudo,,
0.0007067342992845072,,0.0030921596363994337,,dimeric-bEFNB2,NiV-pseudo,,
0.0007402628178104534,,0.0028081195205491988,,dimeric-bEFNB2,NiV-pseudo,,
0.0007753819787541834,,0.00255010406688296,,dimeric-bEFNB2,NiV-pseudo,,
0.0008121672445402978,,0.0023157405184500426,,dimeric-bEFNB2,NiV-pseudo,,
0.00085069765764223,,0.002102870396664068,,dimeric-bEFNB2,NiV-pseudo,,
0.0008910560104250397,,0.0019095305113948438,,dimeric-bEFNB2,NiV-pseudo,,
0.00093332902304582,,0.0017339355901796092,,dimeric-bEFNB2,NiV-pseudo,,
0.0009776075297939365,,0.0015744623999282197,,dimeric-bEFNB2,NiV-pseudo,,
0.00102398667427155,,0.001429635242290981,,dimeric-bEFNB2,NiV-pseudo,,
0.0010725661138337637,,0.0012981127115930307,,dimeric-bEFNB2,NiV-pseudo,,
0.0011234502337277399,,0.0011786756118087364,,dimeric-bEFNB2,NiV-pseudo,,
0.0011767483713908656,,0.0010702159363783622,,dimeric-bEFNB2,NiV-pseudo,,
0.00121,1e-05,0.001009870729718548,0.0,dimeric-bEFNB2,NiV-pseudo,1e-05,1e-05
0.0012325750513899815,,0.0009717268217009705,,dimeric-bEFNB2,NiV-pseudo,,
0.0012910502315064505,,0.0008822933918365722,,dimeric-bEFNB2,NiV-pseudo,,
0.0013522995604958806,,0.0008010844182929636,,dimeric-bEFNB2,NiV-pseudo,,
0.0014164546480763443,,0.0007273447247476733,,dimeric-bEFNB2,NiV-pseudo,,
0.001483653347725237,,0.0006603882721591703,,dimeric-bEFNB2,NiV-pseudo,,
0.001554040052892439,,0.000599591864957709,,dimeric-bEFNB2,NiV-pseudo,,
0.0016277660072662637,,0.0005443894238830867,,dimeric-bEFNB2,NiV-pseudo,,
0.0017049896297588827,,0.0004942667755660485,,dimeric-bEFNB2,NiV-pseudo,,
0.0017858768549095386,,0.0004487569131465758,,dimeric-bEFNB2,NiV-pseudo,,
0.0018706014894369883,,0.00040743568610186834,,dimeric-bEFNB2,NiV-pseudo,,
0.001959345585707319,,0.00036991788103666955,,dimeric-bEFNB2,NiV-pseudo,,
0.002052299832919642,,0.0003358536584862363,,dimeric-bEFNB2,NiV-pseudo,,
0.002149663966850182,,0.0003049253138155356,,dimeric-bEFNB2,NiV-pseudo,,
0.0022516471990352642,,0.0002768443330845383,,dimeric-bEFNB2,NiV-pseudo,,
0.002358468666315371,,0.000251348717306048,,dimeric-bEFNB2,NiV-pseudo,,
0.002470357901706202,,0.0002282005508656683,,dimeric-bEFNB2,NiV-pseudo,,
0.0025875553276085927,,0.00020718379201914702,,dimeric-bEFNB2,NiV-pseudo,,
0.002710312772417013,,0.00018810226534547278,,dimeric-bEFNB2,NiV-pseudo,,
0.0028388940116367478,,0.00017077783782882286,,dimeric-bEFNB2,NiV-pseudo,,
0.002973575334672468,,0.00015504876188218708,,dimeric-bEFNB2,NiV-pseudo,,
0.0031146461385060976,,0.00014076817012265004,,dimeric-bEFNB2,NiV-pseudo,,
0.003262409549539625,,0.00012780270807457767,,dimeric-bEFNB2,NiV-pseudo,,
0.003417183074939061,,0.00011603129222313634,,dimeric-bEFNB2,NiV-pseudo,,
0.003579299284879115,,0.00010534398197673725,,dimeric-bEFNB2,NiV-pseudo,,
0.003631,1e-05,0.00010224106621231776,0.0,dimeric-bEFNB2,NiV-pseudo,1e-05,1e-05
0.0037491065271545664,,9.564095513243502e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.003926969675693851,,8.683157738161425e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.004113270914583243,,7.883355725238005e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.0043084105592862965,,7.157217866722933e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.004512807916823149,,6.497960400650601e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.00472690218675801,,5.8994241215993284e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.004951153404930811,,5.3560169086406615e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.0051860434319608885,,4.8626615368686703e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.005432076988646757,,4.4147482876582696e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.0056897827404867275,,4.0080919171387735e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.005959714433650838,,3.638892582678555e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.00624245208484494,,3.3037003638210815e-05,,dimeric-bEFNB2,NiV-pseudo,,
0.0065386032276237025,,2.9993830474197087e-05,,dimeric-bEFNB2,NiV-pseudo,,
